"from","to","weight","hourdiff","is_duplicate"
"187463155","187463131",1,0,"to"
"187463159","187463163",1,0,"from"
"187463161","187463099",1,0,"to"
"187463163","187463159",1,0,"to"
"187463169","187463139",1,0,"to"
"187463170","187461246",0.412,-24,"both"
"187463170","187461268",0.4381,-24,"from"
"187463170","187461375",0.4087,-24,"from"
"187463171","187463118",1,0,"to"
"187463180","187463184",1,0,"from"
"187463184","187463180",1,0,"to"
"187463189","187463203",0.7181,0,"both"
"187463189","187463247",0.7181,0,"from"
"187463192","187463281",1,0,"from"
"187463194","187461191",0.4951,-24,"from"
"187463194","187461231",0.5179,-24,"both"
"187463194","187463207",0.6324,0,"both"
"187463194","187463216",0.6797,0,"both"
"187463194","187463217",0.6797,0,"both"
"187463194","187463225",0.6324,0,"both"
"187463198","187463218",1,0,"from"
"187463199","187463256",1,0,"from"
"187463201","187463213",1,0,"from"
"187463202","187461226",0.4123,-24,"both"
"187463202","187461248",0.4123,-24,"from"
"187463203","187463189",0.7181,0,"both"
"187463203","187463247",1,0,"from"
"187463205","187463229",1,0,"from"
"187463206","187461149",0.5293,-24,"from"
"187463207","187461191",0.4016,-24,"from"
"187463207","187461231",0.4368,-24,"both"
"187463207","187463194",0.6324,0,"both"
"187463207","187463216",0.5203,0,"both"
"187463207","187463217",0.5203,0,"both"
"187463207","187463225",1,0,"both"
"187463212","187463286",1,0,"both"
"187463212","187463389",1,0,"both"
"187463212","187463452",1,0,"from"
"187463213","187463201",1,0,"to"
"187463215","187463259",1,0,"both"
"187463215","187463265",1,0,"both"
"187463215","187463284",1,0,"from"
"187463216","187461191",0.5859,-24,"from"
"187463216","187461231",0.4568,-24,"both"
"187463216","187463194",0.6797,0,"both"
"187463216","187463207",0.5203,0,"both"
"187463216","187463217",1,0,"both"
"187463216","187463225",0.5203,0,"both"
"187463217","187461191",0.5859,-24,"from"
"187463217","187461231",0.4568,-24,"both"
"187463217","187463194",0.6797,0,"both"
"187463217","187463207",0.5203,0,"both"
"187463217","187463216",1,0,"both"
"187463217","187463225",0.5203,0,"both"
"187463218","187463198",1,0,"to"
"187463219","187463276",1,0,"from"
"187463224","187463231",0.999,0,"both"
"187463224","187463246",1,0,"both"
"187463224","187463269",0.999,0,"both"
"187463224","187463271",1,0,"from"
"187463225","187461191",0.4016,-24,"from"
"187463225","187461231",0.4368,-24,"both"
"187463225","187463194",0.6324,0,"both"
"187463225","187463207",1,0,"both"
"187463225","187463216",0.5203,0,"both"
"187463225","187463217",0.5203,0,"both"
"187463226","187461161",0.7243,-24,"both"
"187463226","187463262",0.4607,0,"both"
"187463226","187463279",1,0,"both"
"187463229","187463205",1,0,"to"
"187463231","187463224",0.999,0,"both"
"187463231","187463246",0.999,0,"both"
"187463231","187463269",1,0,"both"
"187463231","187463271",0.999,0,"from"
"187463233","187463252",1,0,"from"
"187463236","187463266",1,0,"from"
"187463246","187463224",1,0,"both"
"187463246","187463231",0.999,0,"both"
"187463246","187463269",0.999,0,"both"
"187463246","187463271",1,0,"from"
"187463247","187463189",0.7181,0,"to"
"187463247","187463203",1,0,"to"
"187463251","187463287",1,0,"from"
"187463252","187463233",1,0,"to"
"187463256","187463199",1,0,"to"
"187463258","187461180",0.5405,-24,"from"
"187463259","187463215",1,0,"both"
"187463259","187463265",1,0,"both"
"187463259","187463284",1,0,"from"
"187463262","187461161",0.4654,-24,"both"
"187463262","187463226",0.4607,0,"both"
"187463262","187463279",0.4607,0,"both"
"187463265","187463215",1,0,"both"
"187463265","187463259",1,0,"both"
"187463265","187463284",1,0,"from"
"187463266","187463236",1,0,"to"
"187463269","187463224",0.999,0,"both"
"187463269","187463231",1,0,"both"
"187463269","187463246",0.999,0,"both"
"187463269","187463271",0.999,0,"from"
"187463271","187463224",1,0,"to"
"187463271","187463231",0.999,0,"to"
"187463271","187463246",1,0,"to"
"187463271","187463269",0.999,0,"to"
"187463276","187463219",1,0,"to"
"187463279","187461161",0.7243,-24,"both"
"187463279","187463226",1,0,"both"
"187463279","187463262",0.4607,0,"both"
"187463281","187463192",1,0,"to"
"187463284","187463215",1,0,"to"
"187463284","187463259",1,0,"to"
"187463284","187463265",1,0,"to"
"187463286","187463212",1,0,"both"
"187463286","187463389",1,0,"both"
"187463286","187463452",1,0,"from"
"187463287","187463251",1,0,"to"
"187463289","187461383",0.4697,-24,"both"
"187463289","187463292",0.5061,0,"both"
"187463289","187463299",0.5387,0,"both"
"187463289","187463324",1,0,"both"
"187463289","187463336",0.4304,0,"from"
"187463289","187463347",0.5387,0,"both"
"187463289","187463362",0.5061,0,"from"
"187463289","187463377",0.5218,0,"from"
"187463292","187463289",0.5061,0,"both"
"187463292","187463324",0.5061,0,"both"
"187463292","187463362",1,0,"from"
"187463293","187463361",0.4143,0,"from"
"187463298","187463369",1,0,"from"
"187463299","187463289",0.5387,0,"both"
"187463299","187463324",0.5387,0,"both"
"187463299","187463347",1,0,"both"
"187463299","187463377",0.5417,0,"from"
"187463304","187463333",1,0,"from"
"187463305","187463372",1,0,"from"
"187463307","187463346",1,0,"from"
"187463309","187463327",1,0,"from"
"187463312","187463328",1,0,"from"
"187463313","187461146",0.4158,-24,"from"
"187463315","187463355",1,0,"from"
"187463316","187461412",0.5202,-24,"both"
"187463317","187463387",1,0,"from"
"187463318","187463348",1,0,"both"
"187463318","187463367",1,0,"from"
"187463320","187461262",0.6108,-24,"both"
"187463320","187463338",1,0,"both"
"187463324","187461383",0.4697,-24,"both"
"187463324","187463289",1,0,"both"
"187463324","187463292",0.5061,0,"both"
"187463324","187463299",0.5387,0,"both"
"187463324","187463336",0.4304,0,"from"
"187463324","187463347",0.5387,0,"both"
"187463324","187463362",0.5061,0,"from"
"187463324","187463377",0.5218,0,"from"
"187463327","187463309",1,0,"to"
"187463328","187463312",1,0,"to"
"187463333","187463304",1,0,"to"
"187463335","187463344",1,0,"both"
"187463335","187463349",1,0,"from"
"187463336","187463289",0.4304,0,"to"
"187463336","187463324",0.4304,0,"to"
"187463338","187461262",0.6108,-24,"both"
"187463338","187463320",1,0,"both"
"187463344","187463335",1,0,"both"
"187463344","187463349",1,0,"from"
"187463346","187463307",1,0,"to"
"187463347","187463289",0.5387,0,"both"
"187463347","187463299",1,0,"both"
"187463347","187463324",0.5387,0,"both"
"187463347","187463377",0.5417,0,"from"
"187463348","187463318",1,0,"both"
"187463348","187463367",1,0,"from"
"187463349","187463335",1,0,"to"
"187463349","187463344",1,0,"to"
"187463355","187463315",1,0,"to"
"187463360","187463364",1,0,"from"
"187463361","187463293",0.4143,0,"to"
"187463362","187463289",0.5061,0,"to"
"187463362","187463292",1,0,"to"
"187463362","187463324",0.5061,0,"to"
"187463364","187463360",1,0,"to"
"187463367","187463318",1,0,"to"
"187463367","187463348",1,0,"to"
"187463369","187463298",1,0,"to"
"187463372","187463305",1,0,"to"
"187463374","187463383",1,0,"both"
"187463374","187463385",1,0,"from"
"187463377","187463289",0.5218,0,"to"
"187463377","187463299",0.5417,0,"to"
"187463377","187463324",0.5218,0,"to"
"187463377","187463347",0.5417,0,"to"
"187463383","187463374",1,0,"both"
"187463383","187463385",1,0,"from"
